Date,Region,MarketSegment,CompetitorID,CompetitorName,CompetitorMarketShare,OurMarketShare,TotalMarketSize,GrowthRate,AverageSellingPrice,CustomerSatisfactionIndex,ProductCategory,MarketTrend,SeasonalityFactor,EconomicIndicator
2025-01-01,North,Consumer,C001,TechGiant,0.35,0.18,1500000,0.05,299.99,4.2,Electronics,Rising,1.0,102.5
2025-01-01,North,Business,C002,EnterpriseMax,0.28,0.22,800000,0.03,899.99,4.1,Electronics,Stable,0.9,102.5
2025-01-01,South,Consumer,C001,TechGiant,0.32,0.15,1200000,0.06,289.99,4.0,Electronics,Rising,1.1,101.8
2025-01-01,South,Business,C003,BizSolutions,0.25,0.20,750000,0.04,879.99,4.3,Electronics,Rising,0.9,101.8
2025-01-01,East,Consumer,C004,ConsumerTech,0.30,0.17,1300000,0.07,279.99,3.9,Electronics,Stable,1.0,103.2
2025-01-01,East,Business,C002,EnterpriseMax,0.29,0.19,780000,0.03,889.99,4.2,Electronics,Stable,0.8,103.2
2025-01-01,West,Consumer,C001,TechGiant,0.38,0.16,1400000,0.08,309.99,4.1,Electronics,Rising,1.2,104.5
2025-01-01,West,Business,C003,BizSolutions,0.26,0.21,820000,0.05,909.99,4.4,Electronics,Rising,0.9,104.5
2025-01-15,North,Consumer,C001,TechGiant,0.34,0.19,1520000,0.05,299.99,4.3,Electronics,Rising,1.0,102.8
2025-01-15,North,Business,C002,EnterpriseMax,0.27,0.23,810000,0.03,899.99,4.2,Electronics,Stable,0.9,102.8
2025-01-15,South,Consumer,C001,TechGiant,0.31,0.16,1220000,0.06,289.99,4.1,Electronics,Rising,1.1,102.0
2025-01-15,South,Business,C003,BizSolutions,0.24,0.21,760000,0.04,879.99,4.4,Electronics,Rising,0.9,102.0
2025-01-15,East,Consumer,C004,ConsumerTech,0.29,0.18,1320000,0.07,279.99,4.0,Electronics,Rising,1.0,103.5
2025-01-15,East,Business,C002,EnterpriseMax,0.28,0.20,790000,0.03,889.99,4.3,Electronics,Stable,0.8,103.5
2025-01-15,West,Consumer,C001,TechGiant,0.37,0.17,1420000,0.08,309.99,4.2,Electronics,Rising,1.2,104.8
2025-01-15,West,Business,C003,BizSolutions,0.25,0.22,830000,0.05,909.99,4.5,Electronics,Rising,0.9,104.8
2025-02-01,North,Consumer,C001,TechGiant,0.33,0.20,1540000,0.06,299.99,4.3,Electronics,Rising,1.0,103.0
2025-02-01,North,Business,C002,EnterpriseMax,0.26,0.24,820000,0.04,899.99,4.2,Electronics,Rising,0.9,103.0
2025-02-01,South,Consumer,C001,TechGiant,0.30,0.17,1240000,0.07,289.99,4.1,Electronics,Rising,1.1,102.3
2025-02-01,South,Business,C003,BizSolutions,0.23,0.22,770000,0.05,879.99,4.4,Electronics,Rising,0.9,102.3
2025-02-01,East,Consumer,C004,ConsumerTech,0.28,0.19,1340000,0.08,279.99,4.0,Electronics,Rising,1.0,103.8
2025-02-01,East,Business,C002,EnterpriseMax,0.27,0.21,800000,0.04,889.99,4.3,Electronics,Rising,0.8,103.8
2025-02-01,West,Consumer,C001,TechGiant,0.36,0.18,1440000,0.09,309.99,4.2,Electronics,Rising,1.2,105.0
2025-02-01,West,Business,C003,BizSolutions,0.24,0.23,840000,0.06,909.99,4.5,Electronics,Rising,0.9,105.0
2025-02-15,North,Consumer,C001,TechGiant,0.32,0.21,1560000,0.06,299.99,4.4,Electronics,Rising,1.0,103.2
2025-02-15,North,Business,C002,EnterpriseMax,0.25,0.25,830000,0.04,899.99,4.3,Electronics,Rising,0.9,103.2
2025-02-15,South,Consumer,C001,TechGiant,0.29,0.18,1260000,0.07,289.99,4.2,Electronics,Rising,1.1,102.5
2025-02-15,South,Business,C003,BizSolutions,0.22,0.23,780000,0.05,879.99,4.5,Electronics,Rising,0.9,102.5
2025-02-15,East,Consumer,C004,ConsumerTech,0.27,0.20,1360000,0.08,279.99,4.1,Electronics,Rising,1.0,104.0
2025-02-15,East,Business,C002,EnterpriseMax,0.26,0.22,810000,0.04,889.99,4.4,Electronics,Rising,0.8,104.0
2025-02-15,West,Consumer,C001,TechGiant,0.35,0.19,1460000,0.09,309.99,4.3,Electronics,Rising,1.2,105.2
2025-02-15,West,Business,C003,BizSolutions,0.23,0.24,850000,0.06,909.99,4.6,Electronics,Rising,0.9,105.2
